########

## 	Model: EURNN with N=512 FFT

########

0	602.464111
1	8.545826
2	1.127606
3	1.491947
4	1.870383
5	2.591341
6	2.204208
7	1.615281
8	1.188017
9	1.277436
10	1.390692
11	1.333065
12	1.209548
13	1.089089
14	0.884607
15	0.770458
16	0.626454
17	0.559078
18	0.534030
19	0.566730
20	0.656414
21	0.802464
22	1.109568
23	1.850256
24	2.507360
25	2.138005
26	1.772122
27	1.678567
28	1.956950
29	1.997529
30	1.134149
31	0.753673
32	0.575890
33	0.552962
34	0.683719
35	0.728311
36	0.853289
37	1.006868
38	1.146509
39	1.212546
40	1.288658
41	1.226235
42	1.173083
43	1.195921
44	1.097363
45	1.102612
46	1.540152
47	1.636462
48	1.385158
49	1.088833
50	1.073928
51	1.095644
52	1.045825
53	0.919025
54	0.634960
55	0.444190
56	0.374211
57	0.342714
58	0.355483
59	0.376849
60	0.465835
61	0.653393
62	0.856495
63	1.239926
64	1.630149
65	1.539384
66	1.027195
67	0.894400
68	0.712091
69	0.504724
70	0.459735
71	0.442344
72	0.443380
73	0.461323
74	0.487161
75	0.491094
76	0.492034
77	0.487627
78	0.526506
79	0.566905
80	0.625056
81	0.666004
82	0.712749
83	0.718269
84	0.632722
85	0.646354
86	0.554712
87	0.482487
88	0.420175
89	0.392005
90	0.404134
91	0.446009
92	0.497215
93	0.492434
94	0.536724
95	0.616723
96	0.594687
97	0.547164
98	0.627776
99	0.472888
100	0.387072
101	0.355679
102	0.395263
103	0.509649
104	0.702044
105	0.767068
106	0.672868
107	0.633887
108	0.611740
109	0.419461
110	0.319296
111	0.283999
112	0.264673
113	0.257149
114	0.259857
115	0.268119
116	0.290279
117	0.333395
118	0.433106
119	0.570000
120	0.673757
121	0.620893
122	0.446478
123	0.364814
124	0.314722
125	0.304489
126	0.282741
127	0.284863
128	0.329437
129	0.413453
130	0.469109
131	0.495137
132	0.483652
133	0.428991
134	0.566971
135	0.728099
136	1.456939
137	1.016948
138	0.769489
139	0.952807
140	0.749318
141	0.288311
142	0.543691
143	0.592395
144	0.303589
145	0.330085
146	0.409264
147	0.380803
148	0.452175
149	0.434806
150	0.403366
151	0.341748
152	0.272019
153	0.253513
154	0.246761
155	0.241892
156	0.239455
157	0.240102
158	0.243053
159	0.247899
160	0.264484
161	0.334907
162	0.503644
163	0.688341
164	0.696404
165	0.824798
166	0.564246
167	0.465308
168	0.426782
169	0.360575
170	0.293635
171	0.265704
172	0.258751
173	0.251370
174	0.248766
175	0.251230
176	0.254176
177	0.262321
178	0.282638
179	0.304054
180	0.354982
181	0.492297
182	0.461505
183	0.493648
184	0.630701
185	0.499660
186	0.434545
187	0.338903
188	0.307066
189	0.271613
190	0.248417
191	0.242822
192	0.238499
193	0.237140
194	0.239556
195	0.240501
196	0.244210
197	0.251689
198	0.272586
199	0.307826
200	0.369830
201	0.440472
202	0.449029
203	0.396332
204	0.376485
205	0.333405
206	0.263516
207	0.287299
208	0.307560
209	0.333587
210	0.326226
211	0.269329
212	0.256240
213	0.244400
214	0.238753
215	0.237756
216	0.238554
217	0.242993
218	0.248948
219	0.259495
220	0.266052
221	0.267254
222	0.262453
223	0.259986
224	0.299845
225	0.500907
226	0.922352
227	0.758104
228	0.993674
229	1.313344
230	1.304359
231	2.261638
232	1.136500
233	1.936803
234	2.862815
235	0.960806
236	0.557092
237	1.394779
238	1.813041
239	0.966613
240	0.445306
241	0.300286
242	0.330512
243	0.420439
244	0.398052
245	0.405472
246	0.365085
247	0.357255
248	0.336183
249	0.334274
250	0.324680
251	0.330660
252	0.349687
253	0.384092
254	0.420562
255	0.459607
256	0.509110
257	0.537246
258	0.546472
259	0.508366
260	0.490007
261	0.436039
262	0.452076
263	0.422615
264	0.409815
265	0.379531
266	0.380347
267	0.384233
268	0.392791
269	0.387821
270	0.407978
271	0.425389
272	0.470937
273	0.544673
274	0.608014
275	0.693277
276	0.605863
277	0.726717
278	1.012885
279	0.852579
280	0.473447
281	0.327962
282	0.343482
283	0.488520
284	0.470373
285	0.393665
286	0.381147
287	0.349206
288	0.345963
289	0.353447
290	0.371819
291	0.411317
292	0.442685
293	0.462985
294	0.438662
295	0.404564
296	0.360328
297	0.314015
298	0.299520
299	0.288864
300	0.298367
301	0.313748
302	0.341882
303	0.413318
304	0.367343
305	0.373732
306	0.359229
307	0.393715
308	0.382847
309	0.386896
310	0.375854
311	0.342559
312	0.335303
313	0.347715
314	0.353223
315	0.350679
316	0.335907
317	0.413042
318	0.500487
319	0.421617
320	0.338472
321	0.316296
322	0.328922
323	0.350160
324	0.333318
325	0.323566
326	0.309420
327	0.312049
328	0.323890
329	0.365157
330	0.369903
331	0.369810
332	0.353904
333	0.381637
334	0.390766
335	0.338650
336	0.281182
337	0.253666
338	0.248928
339	0.251050
340	0.267349
341	0.291513
342	0.302638
343	0.304277
344	0.289766
345	0.290184
346	0.282849
347	0.287114
348	0.288642
349	0.293230
350	0.284232
351	0.269461
352	0.271352
353	0.339338
354	0.489242
355	0.446509
356	0.374575
357	0.365865
358	0.327003
359	0.456674
360	0.651992
361	0.809866
362	0.502786
363	0.540453
364	0.525666
365	0.478196
366	0.355667
367	0.627119
368	0.464736
369	0.307799
370	0.267948
371	0.238785
372	0.235174
373	0.234108
374	0.233920
375	0.232911
376	0.232518
377	0.234360
378	0.235547
379	0.237688
380	0.243230
381	0.252516
382	0.260554
383	0.266086
384	0.254108
385	0.256976
386	0.279172
387	0.339530
388	0.355311
389	0.361492
390	0.328108
391	0.332307
392	0.304666
393	0.288270
394	0.278498
395	0.260528
396	0.251146
397	0.243891
398	0.242206
399	0.238302
400	0.236823
401	0.238385
402	0.239404
403	0.235551
404	0.237891
405	0.243920
406	0.256106
407	0.282639
408	0.311314
409	0.337005
410	0.317928
411	0.289414
412	0.273144
413	0.269099
414	0.251580
415	0.277545
416	0.306211
417	0.331329
418	0.347156
419	0.287401
420	0.274189
421	0.314414
422	0.259987
423	0.284227
424	0.337268
425	0.273799
426	0.268215
427	0.287853
428	0.273936
429	0.252904
430	0.260028
431	0.247905
432	0.245304
433	0.237976
434	0.233384
435	0.230477
436	0.230718
437	0.232717
438	0.232619
439	0.230469
440	0.231409
441	0.233581
442	0.238544
443	0.251192
444	0.257584
445	0.251392
446	0.245126
447	0.241177
448	0.246950
449	0.260451
450	0.334760
451	0.419546
452	0.270364
453	0.244679
454	0.256027
455	0.298772
456	0.247041
457	0.233482
458	0.236742
459	0.238365
460	0.232919
461	0.262630
462	0.295007
463	0.250464
464	0.262626
465	0.425444
466	0.392160
467	0.328579
468	0.554988
469	0.906281
470	0.622448
471	0.540705
472	0.506925
473	0.387989
474	0.278509
475	0.269185
476	0.288654
477	0.244676
478	0.264505
479	0.307580
480	0.288877
481	0.276292
482	0.280215
483	0.245284
484	0.244417
485	0.249727
486	0.235572
487	0.231813
488	0.232977
489	0.235152
490	0.234319
491	0.234807
492	0.236874
493	0.241145
494	0.245369
495	0.255657
496	0.260546
497	0.254830
498	0.246756
499	0.281281
500	0.388485
501	0.429272
502	0.332539
503	0.264529
504	0.233874
505	0.229143
506	0.233018
507	0.232090
508	0.230309
509	0.230341
510	0.229908
511	0.232425
512	0.237900
513	0.244327
514	0.252846
515	0.260342
516	0.255641
517	0.256915
518	0.287047
519	0.276964
520	0.243035
521	0.242273
522	0.238760
523	0.237350
524	0.237226
525	0.238577
526	0.238038
527	0.241044
528	0.249125
529	0.254354
530	0.255321
531	0.253996
532	0.249528
533	0.247476
534	0.243128
535	0.240639
536	0.242441
537	0.241716
538	0.242473
539	0.239945
540	0.243218
541	0.241097
542	0.240144
543	0.240491
544	0.240201
545	0.243115
546	0.241608
547	0.242478
548	0.245011
549	0.249024
550	0.246917
551	0.254812
552	0.247215
553	0.276898
554	0.386041
555	0.287718
556	0.328259
557	0.275687
558	0.346294
559	0.324877
560	0.356180
561	0.290010
562	0.396166
563	0.337268
