########

## 	Model: EURNN with N=512 L=2

########

0	462.646240
1	12.310288
2	2.338099
3	1.968305
4	1.705933
5	1.919065
6	1.951834
7	1.742882
8	1.267909
9	1.019074
10	0.737403
11	0.611709
12	0.535467
13	0.512168
14	0.563014
15	0.638621
16	0.814121
17	1.141210
18	1.590945
19	2.159834
20	2.476819
21	2.644847
22	2.261932
23	2.592017
24	2.801213
25	2.880165
26	1.940918
27	1.603418
28	1.176725
29	1.026778
30	0.961103
31	1.121101
32	1.130830
33	1.198782
34	1.284712
35	1.507809
36	1.513619
37	1.558677
38	1.553700
39	1.806479
40	1.836903
41	2.249197
42	2.682976
43	3.211325
44	3.278789
45	1.806347
46	1.303241
47	1.077498
48	1.486946
49	2.041748
50	2.829643
51	2.851321
52	2.485984
53	1.456778
54	1.006952
55	0.723037
56	0.584704
57	0.541839
58	0.545280
59	0.597679
60	0.766557
61	1.009036
62	1.402920
63	1.841325
64	2.113787
65	2.408243
66	2.438592
67	2.043770
68	1.799537
69	1.718360
70	1.607272
71	1.395420
72	1.079876
73	0.859791
74	0.712940
75	0.666876
76	0.705532
77	0.918481
78	1.685394
79	3.347657
80	4.020836
81	3.113420
82	1.592799
83	1.210159
84	1.033741
85	0.920915
86	0.835248
87	0.899975
88	1.113371
89	1.288002
90	1.508180
91	1.372766
92	1.136975
93	1.106444
94	1.177011
95	1.425898
96	1.647210
97	1.803142
98	1.782313
99	1.798024
100	1.614742
101	1.384468
102	1.178777
103	0.955270
104	0.830083
105	0.777881
106	0.807504
107	0.918659
108	1.101184
109	1.514878
110	1.712092
111	1.894573
112	1.295901
113	0.722436
114	0.511912
115	0.489438
116	0.619170
117	1.123182
118	2.213182
119	3.080274
120	2.111654
121	1.568201
122	0.944326
123	0.649513
124	0.642459
125	0.824347
126	1.003218
127	1.116957
128	1.110451
129	1.145236
130	0.925536
131	0.944656
132	0.932720
133	0.958127
134	0.928835
135	0.977368
136	0.881253
137	0.796653
138	0.712685
139	0.675694
140	0.821466
141	1.400722
142	2.121693
143	2.258266
144	1.676751
145	1.203450
146	0.817084
147	0.588770
148	0.588972
149	0.736474
150	0.903061
151	1.451985
152	1.815796
153	1.486118
154	1.055683
155	0.757026
156	0.547097
157	0.604964
158	0.643626
159	0.739586
160	0.884938
161	1.069376
162	1.135227
163	1.113073
164	1.154451
165	1.234235
166	1.660630
167	1.774305
168	1.382692
169	0.985867
170	0.769351
171	0.699903
172	0.855957
173	1.043363
174	1.047537
175	0.985431
176	0.862887
177	0.793324
178	0.704751
179	0.671270
180	0.694966
181	0.795577
182	0.904587
183	1.091228
184	1.232348
185	1.157489
186	0.904829
187	0.835077
188	0.901154
189	1.030756
190	1.339191
191	1.454468
192	1.248069
193	0.947792
194	0.768425
195	0.887568
196	0.976461
197	0.940866
198	0.848846
199	0.759390
200	0.740116
201	0.738737
202	0.859501
203	1.031511
204	1.074314
205	0.922652
206	0.912699
207	0.868004
208	0.799906
209	0.794955
210	0.954836
211	1.413814
212	1.625287
213	1.397261
214	1.088448
215	0.663462
216	0.732096
217	0.953203
218	1.092237
219	1.078619
220	0.880090
221	0.771543
222	0.640029
223	0.493808
224	0.488766
225	0.565895
226	0.738415
227	0.966796
228	0.984770
229	0.807183
230	0.792621
231	0.693309
232	0.641887
233	0.641841
234	0.660891
235	0.728639
236	0.792719
237	0.794764
238	0.885035
239	0.836030
240	0.739032
241	0.674644
242	0.676314
243	0.610457
244	0.622007
245	0.971934
246	1.923658
247	1.886059
248	1.087161
249	0.549484
250	0.472477
251	0.962292
252	1.265877
253	1.185726
254	0.975469
255	0.719149
256	0.571423
257	0.508624
258	0.429146
259	0.454912
260	0.514342
261	0.654020
262	0.813180
263	0.908519
264	0.814621
265	0.716144
266	0.562006
267	0.484999
268	0.366517
269	0.360111
270	0.428273
271	0.715498
272	1.180142
273	1.382100
274	1.043235
275	0.820744
276	0.626232
277	0.559137
278	0.539766
279	0.515339
280	0.563047
281	0.514980
282	0.491975
283	0.498106
284	0.519308
285	0.484810
286	0.500959
287	0.520858
288	0.528705
289	0.567128
290	0.726245
291	0.966407
292	0.995453
293	1.166592
294	1.096570
295	0.814115
296	0.602288
297	0.454787
298	0.398380
299	0.359717
300	0.337393
301	0.329608
302	0.351470
303	0.386688
304	0.452763
305	0.477782
306	0.536503
307	0.518005
308	0.543187
309	0.520787
310	0.514191
311	0.524487
312	0.566057
313	0.653598
314	0.795020
315	0.916765
316	0.847201
317	0.624621
318	0.469739
319	0.338298
320	0.702386
321	1.166731
322	0.917188
323	0.785345
324	0.584263
325	0.551171
326	0.669251
327	0.797846
328	0.605871
329	0.609148
330	0.728014
331	0.711446
332	0.676947
333	0.470504
334	0.438036
335	0.417800
336	0.381057
337	0.401834
338	0.376272
339	0.371806
340	0.361061
341	0.415396
342	0.431116
343	0.448357
344	0.423613
345	0.415566
346	0.452447
347	0.576041
348	0.796800
349	0.933113
350	0.979671
351	0.763986
352	0.610688
353	0.389040
354	0.409218
355	0.515998
356	0.579207
357	0.620666
358	0.514782
359	0.417609
360	0.354100
361	0.346208
362	0.326627
363	0.328897
364	0.334202
365	0.354610
366	0.392857
367	0.411023
368	0.441265
369	0.459473
370	0.485332
371	0.544029
372	0.592123
373	0.580452
374	0.553638
375	0.544526
376	0.623256
377	0.604845
378	0.437225
379	0.410708
380	0.413122
381	0.348816
382	0.341394
383	0.322166
384	0.302681
385	0.300288
386	0.306850
387	0.326698
388	0.372573
389	0.431095
390	0.517846
391	0.629900
392	0.729064
393	0.604735
394	0.434448
395	0.352795
396	0.329094
397	0.346279
398	0.471914
399	0.592529
400	0.600713
401	0.521746
402	0.431490
403	0.389908
404	0.374080
405	0.379869
406	0.370617
407	0.366046
408	0.357015
409	0.337278
410	0.329441
411	0.320225
412	0.319959
413	0.336444
414	0.375775
415	0.462249
416	0.561081
417	0.599735
418	0.495295
419	0.417799
420	0.382681
421	0.433377
422	0.524493
423	0.539286
424	0.436693
425	0.381415
426	0.355021
427	0.376886
428	0.427761
429	0.444547
430	0.546216
431	0.642808
432	0.452919
433	0.342947
434	0.322369
435	0.328976
436	0.300208
437	0.316171
438	0.340953
439	0.357158
440	0.359461
441	0.375787
442	0.394231
443	0.494892
444	0.620909
445	0.576436
446	0.485186
447	0.501189
448	0.453180
449	0.356975
450	0.355771
451	0.549765
452	0.594282
453	0.339308
454	0.288312
455	0.262596
456	0.289032
457	0.365046
458	0.375241
459	0.335180
460	0.322620
461	0.320386
462	0.328454
463	0.354361
464	0.380757
465	0.408481
466	0.462622
467	0.587594
468	0.604097
469	0.443234
470	0.548833
471	0.438252
472	0.479979
473	0.396105
474	0.330411
475	0.349469
476	0.272810
477	0.271340
478	0.286772
479	0.253985
480	0.281732
481	0.312267
482	0.476477
483	0.627255
484	0.575102
485	0.456134
486	0.368464
487	0.319187
488	0.281648
489	0.263406
490	0.253636
491	0.251256
492	0.251417
493	0.259538
494	0.273660
495	0.303441
496	0.345403
497	0.389295
498	0.415789
499	0.398070
500	0.365074
501	0.403754
502	0.385062
503	0.313900
504	0.298800
505	0.330735
506	0.351303
507	0.444558
508	0.501429
509	0.397523
510	0.316542
511	0.342298
512	0.321285
513	0.286323
514	0.272610
515	0.271453
516	0.292781
517	0.370842
518	0.440890
519	0.395462
520	0.329982
521	0.290923
522	0.295290
523	0.322373
524	0.344219
525	0.342177
526	0.334467
527	0.322326
528	0.360124
529	0.438803
530	0.380355
531	0.389282
532	0.516974
533	0.508496
534	0.364030
535	0.316413
536	0.283664
537	0.263342
538	0.252220
539	0.244198
540	0.246580
541	0.249794
542	0.263908
543	0.307999
544	0.391967
545	0.416616
546	0.414927
547	0.385814
548	0.371415
549	0.350996
550	0.324073
551	0.313227
552	0.291187
553	0.280354
554	0.270097
555	0.267304
556	0.274287
557	0.278592
558	0.293850
559	0.331780
560	0.381360
561	0.397334
562	0.378242
563	0.348888
564	0.315956
565	0.293786
566	0.285913
567	0.331733
568	0.394509
569	0.336841
570	0.326468
571	0.331230
572	0.297040
573	0.283084
574	0.267329
575	0.258742
576	0.257935
577	0.259445
578	0.259416
579	0.271910
580	0.284159
581	0.311591
582	0.364319
583	0.377218
584	0.382889
585	0.428043
586	0.371689
587	0.302152
588	0.273426
589	0.277459
590	0.318746
591	0.328346
592	0.315461
593	0.264137
594	0.267021
595	0.290492
596	0.309656
597	0.318303
598	0.294957
599	0.269403
600	0.261082
601	0.253014
602	0.253425
603	0.261803
604	0.300750
605	0.350807
606	0.369505
607	0.326058
608	0.296058
609	0.268424
610	0.253494
611	0.251082
612	0.260018
613	0.274685
614	0.299478
615	0.312404
616	0.308598
617	0.297059
618	0.264672
619	0.249025
620	0.248221
621	0.249855
622	0.273647
623	0.309330
624	0.334818
625	0.334532
626	0.302519
627	0.279992
628	0.265821
629	0.253565
630	0.251426
631	0.249059
632	0.242548
633	0.244220
634	0.245981
635	0.250874
636	0.257427
637	0.265585
638	0.269824
639	0.287764
640	0.305563
641	0.317992
642	0.318261
643	0.345407
644	0.296392
645	0.285739
646	0.256640
647	0.249100
648	0.247923
649	0.242016
650	0.247158
651	0.246601
652	0.252786
653	0.257612
654	0.266055
655	0.264051
656	0.285707
657	0.301699
658	0.270880
659	0.253151
660	0.243865
661	0.238509
662	0.240234
663	0.245356
664	0.246739
665	0.247878
666	0.245364
667	0.247813
668	0.247569
669	0.247159
670	0.255127
671	0.266645
672	0.253833
673	0.249916
674	0.250929
675	0.248940
676	0.246957
677	0.252214
678	0.257861
679	0.262087
680	0.255574
681	0.251209
682	0.247145
683	0.248188
684	0.248436
685	0.241472
686	0.235904
687	0.237501
688	0.238315
689	0.247611
690	0.255600
691	0.257800
692	0.256927
693	0.248194
694	0.245391
695	0.246396
696	0.242130
697	0.285796
698	0.302266
699	0.267191
700	0.251157
701	0.236667
702	0.231679
703	0.229637
704	0.229103
705	0.227272
706	0.229686
707	0.229838
708	0.230386
709	0.233263
710	0.238385
711	0.251104
712	0.260022
713	0.251820
714	0.245465
715	0.249069
716	0.237632
717	0.237539
718	0.242680
719	0.256293
720	0.271801
721	0.259960
722	0.243313
723	0.237528
724	0.233514
725	0.231861
726	0.232024
727	0.232775
728	0.236124
729	0.236898
730	0.238127
731	0.239399
732	0.236685
733	0.232314
734	0.235118
735	0.239851
736	0.252058
737	0.264887
738	0.266949
739	0.254633
740	0.273871
741	0.255390
742	0.250703
743	0.252360
744	0.236430
745	0.232701
746	0.234880
747	0.240324
748	0.247513
749	0.258055
750	0.240395
751	0.232218
752	0.230429
753	0.230233
754	0.231608
755	0.234416
756	0.237673
757	0.246090
758	0.243153
759	0.239182
760	0.241369
761	0.247679
762	0.249656
763	0.242062
764	0.236454
765	0.232318
766	0.232212
767	0.234649
768	0.234473
769	0.235703
770	0.239180
771	0.238640
772	0.236942
773	0.233674
774	0.233478
775	0.233469
776	0.231163
777	0.232831
778	0.231361
779	0.232166
780	0.234022
781	0.233822
782	0.238364
783	0.247038
784	0.256256
785	0.256510
786	0.251574
787	0.240504
788	0.233346
789	0.232269
790	0.229464
791	0.233307
792	0.232377
793	0.232828
794	0.235210
795	0.236832
796	0.235907
797	0.237061
798	0.239470
799	0.240621
800	0.241899
801	0.240041
802	0.238275
803	0.236181
804	0.234596
805	0.233357
806	0.233881
807	0.233650
808	0.232792
809	0.232716
810	0.231059
811	0.231547
812	0.235539
813	0.237375
814	0.240639
815	0.239463
816	0.237091
817	0.236900
818	0.235342
819	0.235124
820	0.239426
821	0.243535
822	0.248164
823	0.247005
824	0.238205
825	0.241259
826	0.238271
827	0.233446
828	0.230998
829	0.231515
830	0.229111
831	0.229779
832	0.231863
833	0.231274
834	0.235398
835	0.239042
836	0.242454
837	0.236648
838	0.234190
839	0.232166
840	0.230558
841	0.231574
842	0.232927
