########

## 	Model: LSTM with N=1024

########

0	0.376451
1	0.284400
2	0.253556
3	0.248392
4	0.247366
5	0.245114
6	0.241475
7	0.239443
8	0.238068
9	0.238407
10	0.236350
11	0.234322
12	0.236785
13	0.233692
14	0.231839
15	0.233954
16	0.232240
17	0.229275
18	0.228273
19	0.230099
20	0.228191
21	0.229126
22	0.229507
23	0.226775
24	0.228172
25	0.225389
26	0.225638
27	0.225133
28	0.227477
29	0.227074
30	0.232275
31	0.241892
32	0.275385
33	0.406845
34	0.950259
35	2.244181
36	3.227851
37	1.019600
38	0.683128
39	1.352238
40	1.725815
41	1.130672
42	0.396862
43	0.270280
44	0.251810
45	0.268262
46	0.339160
47	0.550368
48	0.965196
49	1.485932
50	1.247724
51	1.168249
52	1.018546
53	0.761144
54	0.352065
55	0.303476
56	0.398866
57	0.671720
58	0.943127
59	0.768353
60	0.356320
61	0.241045
62	0.232012
63	0.245233
64	0.280306
65	0.365343
66	0.555255
67	0.877092
68	0.712456
69	0.433836
70	0.266517
71	0.252528
72	0.303577
73	0.446783
74	0.722994
75	0.698497
76	0.489109
77	0.335675
78	0.425324
79	0.646233
80	0.622745
81	0.404026
82	0.266517
83	0.273012
84	0.348527
85	0.562947
86	0.580419
87	0.475069
88	0.353774
89	0.443154
90	0.511911
91	0.411177
92	0.279573
93	0.243851
94	0.245971
95	0.285844
96	0.368049
97	0.441205
98	0.432323
99	0.292091
100	0.281698
101	0.278404
102	0.313660
103	0.395594
104	0.737231
105	0.235964
106	1.028948
107	0.829597
108	8.315539
109	0.452281
110	0.296946
111	0.358229
112	0.274148
113	0.287442
114	0.275497
115	0.256819
116	0.254171
117	0.241572
118	0.244815
119	0.233998
120	0.229693
121	0.228330
122	0.243736
123	0.238963
124	0.249053
125	0.249771
126	0.274661
127	0.256354
128	0.263320
129	0.260267
130	0.288702
131	0.325546
132	0.339418
133	0.347626
134	0.285053
135	0.286535
136	0.286333
137	0.301280
138	0.412923
139	0.531486
140	1.701997
141	1.591618
142	0.956007
143	0.523131
144	0.267804
145	0.224633
146	0.207365
147	0.204111
148	0.203003
149	0.202570
150	0.201973
151	0.203909
152	0.208808
153	0.221517
154	0.269941
155	0.385222
156	0.268435
157	0.272217
158	0.259962
159	0.284219
160	0.309162
161	0.293080
162	0.285975
163	0.293189
164	0.330658
165	0.379229
166	0.585760
167	0.411540
168	0.502681
169	0.367801
170	0.519417
171	0.473548
172	0.534539
173	0.438536
174	0.458325
175	0.367734
176	0.226629
177	0.221051
178	0.208305
179	0.205511
180	0.198647
181	0.199168
182	0.196167
183	0.192659
184	0.196881
185	0.195199
186	0.192692
187	0.195051
188	0.195354
189	0.194093
190	0.204720
191	0.243462
192	0.264912
193	0.293382
194	0.216786
195	0.211466
196	0.209445
197	0.210186
198	0.219294
199	0.252275
200	0.244347
201	0.323052
202	0.209149
203	0.363524
204	0.343013
205	0.933028
206	0.505235
207	0.409191
208	0.275329
209	0.199169
210	0.193453
211	0.192172
212	0.188938
213	0.187483
214	0.185278
215	0.190413
216	0.190243
217	0.201709
218	0.221320
219	0.236368
220	0.208550
221	0.200956
222	0.191901
223	0.197525
224	0.191223
225	0.198676
226	0.197179
227	0.206312
228	0.198386
229	0.190250
230	0.191341
231	0.190525
232	0.189691
233	0.190499
234	0.199886
235	0.205197
236	0.215654
237	0.216742
238	0.216754
239	0.209694
240	0.215346
241	0.221689
242	0.270344
243	0.438385
244	0.488598
245	0.311446
246	0.216248
247	0.196116
248	0.185965
249	0.188139
250	0.179729
251	0.186886
252	0.185602
253	0.192621
254	0.186997
255	0.193224
256	0.189714
257	0.184362
258	0.183168
259	0.188260
260	0.191693
261	0.190077
262	0.181372
263	0.186508
264	0.188819
265	0.200667
266	0.202545
267	0.193750
268	0.201302
269	0.196990
270	0.237876
271	0.188780
272	0.366368
273	0.271839
274	0.356057
275	0.261308
276	0.334265
277	0.268478
278	0.261545
279	0.230459
280	0.192039
281	0.176403
282	0.167716
283	0.176403
284	0.170641
285	0.171344
286	0.173887
287	0.165542
288	0.168991
289	0.171675
290	0.194631
291	0.207428
292	0.197351
293	0.182300
294	0.184803
295	0.175246
296	0.171193
297	0.175626
298	0.179290
299	0.174517
300	0.167067
301	0.172907
302	0.180138
303	0.210243
304	0.216703
305	0.185073
306	0.176186
307	0.183439
308	0.200241
309	0.199522
310	0.194997
311	0.183322
312	0.190703
313	0.207115
314	0.248416
315	0.238075
316	0.272641
317	0.207294
318	0.189899
319	0.172051
320	0.166975
321	0.186711
322	0.228443
323	0.178552
324	0.171766
325	0.170816
326	0.164634
327	0.166948
328	0.163990
329	0.166322
330	0.168083
331	0.217862
332	0.253914
333	0.188668
334	0.177333
335	0.172404
336	0.172886
337	0.172365
338	0.170091
339	0.166972
340	0.168320
341	0.164756
342	0.175612
343	0.197776
344	0.218110
345	0.172721
346	0.169231
347	0.168090
348	0.184411
349	0.175369
350	0.167746
351	0.166959
352	0.178337
353	0.178568
354	0.212513
355	0.197051
356	0.207479
357	0.169522
358	0.155918
359	0.162956
360	0.165943
361	0.177275
362	0.161296
363	0.150417
364	0.151040
365	0.147579
366	0.158459
367	0.174192
368	0.182631
369	0.165242
370	0.150389
371	0.144761
372	0.147106
373	0.153312
374	0.176320
375	0.183885
376	0.164722
377	0.157827
378	0.151832
379	0.144179
380	0.141994
381	0.148107
382	0.165103
383	0.196439
384	0.155493
385	0.153692
386	0.145164
387	0.144272
388	0.166564
389	0.176770
390	0.169321
391	0.155654
392	0.158069
393	0.151917
394	0.147209
395	0.155315
396	0.146709
397	0.146902
398	0.154464
399	0.157259
400	0.149549
401	0.141413
402	0.154914
403	0.147433
404	0.180219
405	0.131128
406	0.146668
407	0.142569
408	0.120954
409	0.116186
410	0.126870
411	0.147339
412	0.161205
413	0.143323
414	0.144292
415	0.128442
416	0.131832
417	0.128266
418	0.139257
419	0.141920
420	0.121927
421	0.110822
422	0.117329
423	0.117291
424	0.113281
425	0.119572
426	0.138892
427	0.126367
428	0.124281
429	0.112140
430	0.129114
431	0.125005
432	0.142318
433	0.124075
434	0.130422
435	0.120500
436	0.120095
437	0.134781
438	0.156461
439	0.134007
440	0.124522
441	0.115415
442	0.114525
443	0.118925
444	0.122235
445	0.144631
446	0.117761
447	0.107040
448	0.115109
449	0.132777
450	0.109998
451	0.123976
452	0.118222
453	0.113250
454	0.115685
455	0.109902
456	0.115567
457	0.127534
458	0.166072
459	0.135295
460	0.134898
461	0.132580
462	0.134058
463	0.148549
464	0.114409
465	0.102298
466	0.120508
467	0.116333
468	0.119300
469	0.112616
470	0.108261
471	0.114355
472	0.149357
473	0.126354
474	0.124553
475	0.119167
476	0.103506
477	0.114474
478	0.112673
479	0.124013
480	0.116136
481	0.112116
482	0.130344
483	0.126590
484	0.121681
485	0.117349
486	0.126962
487	0.116699
488	0.112076
489	0.117504
490	0.119274
491	0.121176
492	0.120575
493	0.145425
494	0.117963
495	0.107991
496	0.104755
497	0.106966
498	0.119419
499	0.121718
500	0.138855
501	0.109275
502	0.103262
