########

## 	Model: LSTM with N=1024

########

0	0.494649
1	0.410870
2	0.353902
3	0.303949
4	0.278235
5	0.262538
6	0.248591
7	0.240904
8	0.234199
9	0.230715
10	0.229454
11	0.231382
12	0.229496
13	0.226281
14	0.228051
15	0.229927
16	0.228309
17	0.229642
18	0.223702
19	0.227117
20	0.228763
21	0.224831
22	0.227225
23	0.224903
24	0.223887
25	0.226113
26	0.224844
27	0.221440
28	0.223989
29	0.225600
30	0.225086
31	0.223343
32	0.222723
33	0.221862
34	0.223363
35	0.224514
36	0.222706
37	0.223546
38	0.225172
39	0.223477
40	0.221874
41	0.222383
42	0.222171
43	0.222485
44	0.222202
45	0.222372
46	0.224071
47	0.224445
48	0.226124
49	0.224698
50	0.226542
51	0.231787
52	0.243073
53	0.268575
54	0.309887
55	0.337037
56	0.356759
57	0.351934
58	0.345766
59	0.330696
60	0.289614
61	0.267215
62	0.250027
63	0.245698
64	0.239921
65	0.236272
66	0.233689
67	0.239332
68	0.243243
69	0.262525
70	0.306387
71	0.369463
72	0.419522
73	0.284144
74	0.258738
75	0.247473
76	0.257376
77	0.279817
78	0.307111
79	0.307215
80	0.280958
81	0.254140
82	0.250334
83	0.262540
84	0.277434
85	0.309580
86	0.276478
87	0.265709
88	0.255441
89	0.257459
90	0.268455
91	0.262529
92	0.274112
93	0.323057
94	0.360322
95	0.281181
96	0.240752
97	0.231416
98	0.235433
99	0.238331
100	0.240525
101	0.237860
102	0.246239
103	0.247061
104	0.254936
105	0.250710
106	0.260519
107	0.253586
108	0.252537
109	0.241611
110	0.237778
111	0.238975
112	0.244864
113	0.275927
114	0.262989
115	0.265321
116	0.253100
117	0.279151
118	0.272184
119	0.261492
120	0.236630
121	0.232849
122	0.231304
123	0.239534
124	0.236718
125	0.243953
126	0.238889
127	0.242040
128	0.244560
129	0.250787
130	0.258973
131	0.256897
132	0.286811
133	0.270151
134	0.845679
135	0.555681
136	0.371274
137	0.228751
138	0.228369
139	0.224021
140	0.222123
141	0.222156
142	0.219971
143	0.222187
144	0.222541
145	0.218401
146	0.233158
147	0.228969
148	0.232268
149	0.226588
150	0.228092
151	0.233733
152	0.236295
153	0.244172
154	0.235216
155	0.232649
156	0.226294
157	0.227430
158	0.223974
159	0.225494
160	0.229013
161	0.241026
162	0.242324
163	0.251176
164	0.251559
165	0.451330
166	0.381608
167	0.305447
168	0.237708
169	0.222874
170	0.222228
171	0.222688
172	0.221658
173	0.222285
174	0.236750
175	0.234967
176	0.246837
177	0.224401
178	0.221314
179	0.222911
180	0.217843
181	0.216278
182	0.216653
183	0.216639
184	0.223527
185	0.227166
186	0.234409
187	0.233835
188	0.235027
189	0.228289
190	0.230861
191	0.233301
192	0.241178
193	0.249026
194	0.266273
195	0.316877
196	0.410142
197	0.262934
198	0.262981
199	0.245257
200	0.252955
201	0.263204
202	0.220468
203	0.226591
204	0.221081
205	0.213271
206	0.215856
207	0.212631
208	0.217310
209	0.215791
210	0.217602
211	0.217783
212	0.215882
213	0.217401
214	0.224212
215	0.226320
216	0.224694
217	0.224100
218	0.222825
219	0.233786
220	0.227326
221	0.236445
222	0.221420
223	0.221172
224	0.221227
225	0.234518
226	0.249941
227	0.277247
228	0.303930
229	0.295586
230	0.238855
231	0.255792
232	0.221209
233	0.223446
234	0.223490
235	0.220957
236	0.221274
237	0.220576
238	0.224120
239	0.223596
240	0.223682
241	0.223478
242	0.221576
243	0.219961
244	0.221980
245	0.221219
246	0.221039
247	0.222160
248	0.226244
249	0.220967
250	0.218439
251	0.216916
252	0.219897
253	0.222506
254	0.223191
255	0.222708
256	0.225021
257	0.223106
258	0.229498
259	0.266987
260	0.270849
261	0.269777
262	0.239867
263	0.253018
264	0.227112
265	0.229938
266	0.227579
267	0.222983
268	0.216310
269	0.219450
270	0.216321
271	0.216933
272	0.214563
273	0.215661
274	0.218895
275	0.222067
276	0.218622
277	0.221688
278	0.217394
279	0.220229
280	0.216147
281	0.212818
282	0.224566
283	0.216846
284	0.216135
285	0.220182
286	0.227303
287	0.222112
288	0.226849
289	0.228944
290	0.258607
291	0.292111
292	0.242962
293	0.263554
294	0.219146
295	0.219753
296	0.224206
297	0.225897
298	0.215948
299	0.214854
300	0.216140
301	0.214485
302	0.215977
303	0.216444
304	0.219623
305	0.220129
306	0.219025
307	0.219864
308	0.213826
309	0.218405
310	0.214515
311	0.227165
312	0.217522
313	0.219452
314	0.222902
315	0.218552
316	0.216896
317	0.220980
318	0.220719
319	0.219375
320	0.218674
321	0.214707
322	0.216446
323	0.218545
324	0.217786
325	0.226576
326	0.228596
327	0.220441
328	0.221215
329	0.234044
330	0.247163
331	0.250762
332	0.229462
333	0.239321
334	0.227524
335	0.217745
336	0.216489
337	0.220847
338	0.224189
339	0.217725
340	0.219948
341	0.215114
342	0.213934
343	0.217276
344	0.217410
345	0.221773
346	0.213562
347	0.218260
348	0.214857
349	0.213431
350	0.220995
351	0.230010
352	0.217693
353	0.211252
354	0.216457
355	0.217655
356	0.217506
357	0.228778
358	0.222281
359	0.223182
360	0.224627
361	0.226151
362	0.232148
363	0.234022
364	0.239756
365	0.237776
366	0.222495
367	0.224613
368	0.215453
369	0.220368
370	0.221658
371	0.214411
372	0.213198
373	0.215535
374	0.213980
375	0.216062
376	0.222055
377	0.224850
378	0.219243
379	0.215538
380	0.216999
381	0.216691
382	0.217051
383	0.221202
384	0.223525
385	0.214689
386	0.215096
387	0.214465
388	0.216304
389	0.214673
390	0.210950
391	0.217524
392	0.237104
393	0.228484
394	0.218798
395	0.216835
396	0.216539
397	0.215300
398	0.214725
399	0.217002
400	0.217269
401	0.218022
402	0.215329
403	0.222368
404	0.216663
405	0.225267
406	0.216321
407	0.238185
408	0.214546
409	0.230763
410	0.209734
411	0.211533
412	0.199827
413	0.202678
414	0.196976
415	0.216159
416	0.218968
417	0.197463
418	0.186173
419	0.181131
420	0.184602
421	0.291494
422	0.219497
423	0.211428
424	0.215468
425	0.211786
426	0.205174
427	0.201824
428	0.204112
429	0.206306
430	0.212587
431	0.224709
432	0.206456
