########

## 	Model: LSTM with N=512

########

0	0.499396
1	0.470592
2	0.435427
3	0.408477
4	0.386044
5	0.357033
6	0.339427
7	0.324936
8	0.308001
9	0.295175
10	0.284544
11	0.273038
12	0.266506
13	0.258469
14	0.253137
15	0.248992
16	0.244161
17	0.241714
18	0.240004
19	0.237277
20	0.235732
21	0.234864
22	0.236158
23	0.235848
24	0.233454
25	0.234263
26	0.232664
27	0.234375
28	0.232605
29	0.232639
30	0.233210
31	0.232364
32	0.233640
33	0.233417
34	0.233506
35	0.232884
36	0.231959
37	0.231534
38	0.233687
39	0.232411
40	0.231314
41	0.231084
42	0.231391
43	0.232570
44	0.232233
45	0.230854
46	0.231765
47	0.232135
48	0.232918
49	0.231120
50	0.229277
51	0.233219
52	0.232188
53	0.231613
54	0.233294
55	0.232837
56	0.231439
57	0.230166
58	0.229903
59	0.231589
60	0.231287
61	0.232539
62	0.230317
63	0.230722
64	0.232226
65	0.231570
66	0.230488
67	0.231625
68	0.234542
69	0.237878
70	0.248633
71	0.252719
72	0.250958
73	0.241257
74	0.238274
75	0.235717
76	0.235851
77	0.235324
78	0.234120
79	0.233884
80	0.237863
81	0.237272
82	0.236512
83	0.238659
84	0.241304
85	0.239597
86	0.241273
87	0.240616
88	0.241274
89	0.246798
90	0.251742
91	0.261394
92	0.251494
93	0.243603
94	0.239937
95	0.237776
96	0.237277
97	0.236204
98	0.236272
99	0.238236
100	0.244134
101	0.243774
102	0.247135
103	0.240615
104	0.245867
105	0.247262
106	0.252403
107	0.249607
108	0.239989
109	0.239018
110	0.235866
111	0.237754
112	0.237967
113	0.236220
114	0.235147
115	0.236648
116	0.236586
117	0.239881
118	0.247577
119	0.252089
120	0.262399
121	0.240391
122	0.238628
123	0.240631
124	0.242971
125	0.241619
126	0.235195
127	0.233638
128	0.231376
129	0.232803
130	0.233652
131	0.234295
132	0.241241
133	0.245189
134	0.250351
135	0.240299
136	0.249775
137	0.238133
138	0.242107
139	0.238402
140	0.239828
141	0.243966
142	0.250638
143	0.233488
144	0.232292
145	0.230833
146	0.235546
147	0.239796
148	0.251263
149	0.239336
150	0.240188
151	0.233233
152	0.235424
153	0.242137
154	0.251716
155	0.244600
156	0.281970
157	0.268089
158	0.239718
159	0.244553
160	0.237254
161	0.240837
162	0.235700
163	0.241442
164	0.233283
165	0.241184
166	0.230511
167	0.233220
168	0.231263
169	0.233137
170	0.229846
171	0.231862
172	0.233057
173	0.233633
174	0.234668
175	0.243321
176	0.233144
177	0.234632
178	0.235900
179	0.240064
180	0.243636
181	0.293952
182	0.249943
183	0.245359
184	0.259387
185	0.249589
186	0.264933
187	0.232819
188	0.234425
189	0.231633
190	0.234724
191	0.230537
192	0.230689
193	0.228652
194	0.229592
195	0.229864
196	0.230945
197	0.232003
198	0.235336
199	0.234074
200	0.234472
201	0.232787
202	0.231983
203	0.232667
204	0.232067
205	0.235501
206	0.232850
207	0.234657
208	0.232606
209	0.239940
210	0.232889
211	0.233042
212	0.231837
213	0.233370
214	0.232482
215	0.238492
216	0.239391
217	0.242894
218	0.246854
219	0.256020
220	0.245594
221	0.253465
222	0.230271
223	0.228867
224	0.230232
225	0.233905
226	0.233644
227	0.234415
228	0.230477
229	0.232118
230	0.230535
231	0.229754
232	0.230559
233	0.231389
234	0.232605
235	0.233110
236	0.233242
237	0.232168
238	0.230264
239	0.231893
240	0.231749
241	0.233194
242	0.235388
243	0.234283
244	0.234201
245	0.231378
246	0.233515
247	0.232547
248	0.235830
249	0.233281
250	0.235090
251	0.234140
252	0.231907
253	0.233639
254	0.243491
255	0.245188
256	0.260408
257	0.251314
258	0.252139
259	0.231602
260	0.235168
261	0.229745
262	0.228772
263	0.228704
264	0.227914
265	0.227103
266	0.229963
267	0.229604
268	0.228502
269	0.228444
270	0.228454
271	0.230234
272	0.229803
273	0.231727
274	0.234984
275	0.232388
276	0.232649
277	0.230936
278	0.227295
279	0.231950
280	0.230836
281	0.231548
282	0.229745
283	0.233603
284	0.231646
285	0.233390
286	0.228651
287	0.230819
288	0.230734
289	0.228593
290	0.231598
291	0.232165
292	0.231372
293	0.230177
294	0.231198
295	0.231838
296	0.230032
297	0.233205
298	0.234563
299	0.232262
300	0.238486
301	0.238520
302	0.246063
303	0.235114
304	0.233531
305	0.231300
306	0.229032
307	0.227815
308	0.228401
309	0.227502
310	0.228417
311	0.227904
312	0.230518
313	0.231515
314	0.230426
315	0.230890
316	0.232792
317	0.229704
318	0.227734
319	0.227745
320	0.229659
321	0.231284
322	0.232213
323	0.231278
324	0.231692
325	0.231914
326	0.230875
327	0.231656
328	0.229709
329	0.231561
330	0.229111
331	0.231443
332	0.232515
333	0.234708
334	0.233002
335	0.240878
336	0.234426
337	0.237381
338	0.229835
339	0.230095
340	0.228151
341	0.227934
342	0.229509
343	0.228028
344	0.227145
345	0.228729
346	0.228956
347	0.227777
348	0.230645
349	0.228682
350	0.231854
351	0.229123
352	0.231745
353	0.230587
354	0.229443
355	0.229832
356	0.228426
357	0.229186
358	0.231514
359	0.228390
360	0.227751
361	0.228321
362	0.228201
363	0.230597
364	0.232243
365	0.231165
366	0.235452
367	0.235685
368	0.239707
